name,small mol,pocket,energy,constant
af-6578-heme,405,0,-3.77,1.09
af-6578-heme,406,0,-3.77,1.09
af-6578-heme,407,0,-3.77,1.09
af-6578-heme,408,0,-3.77,1.09
af-6578-heme,409,0,-3.77,1.09
af-6578-heme,410,0,-3.77,1.09
af-6578-heme,411,0,-3.77,1.09
af-6578-heme,412,0,-3.77,1.09
af-6578-heme,413,0,-3.77,1.09
af-6578-heme,414,0,-3.77,1.09
af-6578-heme,415,0,-3.77,1.09
af-6578-heme,416,0,-3.77,1.09
af-6578-heme,417,0,-3.77,1.09
af-6578-heme,418,0,-3.77,1.09
af-6578-heme,419,0,-3.77,1.09
af-6578-heme,420,0,-3.77,1.09
af-6578-heme,421,0,-3.77,1.09
af-6578-heme,422,0,-3.77,1.09
af-6578-heme,423,0,-3.77,1.09
af-6578-heme,424,0,-3.77,1.09
af-6578-heme,425,0,-3.77,1.09
af-6578-heme,426,0,-3.77,1.09
af-6578-heme,427,20,-3.26,1.09
af-6578-heme,428,11,2.61,1.09
af-6578-heme,429,14,13.31,1.09
af-6578-heme,430,8,-1.14,1.09
af-6578-heme,431,11,-7.22,5.06
af-6578-heme,432,16,-5.73,621.75
af-6578-heme,433,10,-6.24,5.05
af-6578-heme,434,15,-6.02,64.56
af-6578-heme,435,0,-6.97,7.72
af-6578-heme,436,0,-6.97,7.72
af-6578-heme,437,0,-6.97,7.72
af-6578-heme,438,0,-6.97,7.72
af-6578-heme,439,0,-6.97,7.72
af-6578-heme,440,10,-4.36,639.35
af-6578-heme,441,21,-4.97,227.85
af-6578-heme,442,0,-4.97,227.85
af-6578-heme,443,0,-4.97,227.85
af-6578-heme,444,0,-4.97,227.85
af-6578-heme,445,0,-8.8,352.3
af-6578-heme,446,0,-8.8,352.3
af-6578-heme,447,0,-8.8,352.3
af-6578-heme,448,0,-8.8,352.3
af-6578-heme,449,0,-8.8,352.3
af-6578-heme,450,0,-8.8,352.3
af-6578-heme,451,0,-8.8,352.3
af-6578-heme,452,0,-8.8,352.3
af-6578-heme,453,0,-8.8,352.3
af-6578-heme,454,0,-8.8,352.3
af-6578-heme,455,0,-8.8,352.3
af-6578-heme,456,0,-8.8,352.3
af-6578-heme,457,0,-8.8,352.3
af-6578-heme,458,0,-8.8,352.3
af-6578-heme,459,0,-8.8,352.3
af-6578-heme,460,0,-8.8,352.3
af-6578-heme,461,0,-6.97,7.77
af-6578-heme,462,3,-7.25,5.74
af-6578-heme,463,1,-4.94,1.55
af-6578-heme,464,0,-7.19,5.33
af-6578-heme,465,4,-7.9,1.85
af-6578-heme,466,10,-5.77,113.44
af-6578-heme,467,5,-5.28,703.31
af-6578-heme,468,3,-5.85,83.56
af-6578-heme,469,9,-5.11,83.56
af-6578-heme,470,42,-6.68,12.64
af-6578-heme,471,2,-4.04,9.67
af-6578-heme,472,4,-4.72,5.49
af-6578-heme,473,0,-6.12,32.87
af-6578-heme,474,0,-5.33,340.91
af-6578-heme,475,0,-7.74,2.11
af-6578-heme,476,2,-7.72,2.34
af-6578-heme,477,0,-7.7,2.26
af-6578-heme,478,2,-6.36,25.54
af-6578-heme,479,0,-6.36,25.54
af-6578-heme,480,0,-6.36,25.54
af-6578-heme,481,0,-6.36,25.54
af-6578-heme,482,0,-6.36,25.54
af-6578-heme,483,0,-6.36,25.54
af-6578-heme,484,0,-6.36,25.54
af-6578-heme,485,0,-6.36,25.54
af-6578-heme,486,0,-6.36,25.54
af-6578-heme,487,0,-6.36,25.54
af-6578-heme,488,0,-6.36,25.54
af-6578-heme,489,4,-7.94,1.52
af-6578-heme,490,13,-7.36,4.03
af-6578-heme,491,1,-6.31,23.69
af-6578-heme,492,2,-7.09,6.34
af-6578-heme,493,8,-6.7,12.58
af-6578-heme,494,3,-5.43,124.14
af-6578-heme,495,1,-5.38,114.57
af-6578-heme,496,3,-5.59,81.2
af-6578-heme,497,9,-5.01,786.63
af-6578-heme,498,10,11.59,786.63
af-6578-heme,499,8,12.39,786.63
af-6578-heme,500,8,18.33,786.63
af-6578-heme,501,12,11.72,786.63
af-6578-heme,502,1,-3.36,4.45
af-6578-heme,503,5,-3.42,4.45
af-6578-heme,504,2,-3.39,26.66
af-6578-heme,505,4,-3.22,26.66
af-6578-heme,506,0,-6.76,11.05
af-6578-heme,507,2,-6.59,14.73
af-6578-heme,508,0,-6.7,12.19
af-6578-heme,509,0,-6.13,31.87
af-6578-heme,510,2,-5.07,211.92
af-6578-heme,511,1,-6.32,23.49
af-6578-heme,512,4,-5.71,23.49
af-6578-heme,513,2,-6.43,19.33
af-6578-heme,514,8,7.11,19.33
af-6578-heme,515,3,4.67,19.33
af-6578-heme,516,6,25.04,19.33
af-6578-heme,517,3,8.75,19.33
af-6578-heme,518,0,8.75,19.33
af-6578-heme,519,0,8.75,19.33
af-6578-heme,520,0,8.75,19.33
af-6578-heme,521,0,8.75,19.33
af-6578-heme,522,1,-7.72,770.87
af-6578-heme,523,4,-8.26,20.55
af-6578-heme,524,4,-6.61,14.19
af-6578-heme,525,5,-7.17,79.03
af-6578-heme,526,9,9.19,79.03
af-6578-heme,527,14,16.69,79.03
af-6578-heme,528,11,0.34,79.03
af-6578-heme,529,17,2.73,79.03
af-6578-heme,530,2,-7.21,5.17
af-6578-heme,531,0,-6.44,19.17
af-6578-heme,532,5,-5.49,94.71
af-6578-heme,533,2,-6.27,25.79
af-6578-heme,534,10,5.67,25.79
af-6578-heme,535,11,2.91,25.79
